Metric,ReRanker_wins,BM25_wins,Ties,Total
MRR,6,3,5,14
ndcg@10,3,4,7,14
ndcg@100,5,4,5,14
ndcg@20,5,4,5,14
ndcg@5,3,2,9,14
ndcg@50,5,4,5,14
p@10,3,3,8,14
p@100,2,1,11,14
p@20,5,2,7,14
p@5,2,2,10,14
p@50,4,2,8,14
r@10,3,3,8,14
r@100,3,2,9,14
r@20,5,2,7,14
r@5,1,2,11,14
r@50,4,2,8,14
